Doss.,Prénom Nom,genre,Col de Voza,St-Gervais,Contamines,ND la Gorge,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur sortie,Bertone,Bonatti,Arnouvaz,Col Ferret,La Peule,La Fouly,Champex-Lac,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
693,Florian VERISSIMO,M,0.04164625183733464,0.023027927486526212,0.03282704556589907,0.016658500734933857,0.02449779519843214,0.036256736893679566,0.020578147966683,0.05536501714845664,0.033806957373836356,0.026947574718275354,0.014698677119059285,0.025477707006369428,0.03674669279764821,0.03723664870161685,0.023027927486526212,0.043606075453209214,0.012738853503184714,0.028417442430181284,0.11073003429691328,0.07692307692307693,0.046055854973052424,0.03674669279764821,0.06320431161195493,0.09701126898579128,0.03576678098971093,1 days 10:01:00
552,Josep BOVER BALDERICH,M,0.044564152791381,0.023506366307541625,0.04113614103819784,0.020078354554358472,0.02791380999020568,0.03721841332027424,0.023506366307541625,0.059255631733594515,0.03672869735553379,0.029872673849167482,0.017140058765915768,0.03574926542605289,0.03525954946131244,0.03770812928501469,0.02497551420176298,0.04701273261508325,0.016160626836434867,0.02889324191968658,0.0910871694417238,0.06709108716944172,0.03525954946131244,0.03379040156709109,0.058765915768854066,0.0920666013712047,0.03525954946131244,1 days 10:02:00
972,Nicolas GRIMAL,M,0.04852941176470588,0.025,0.04068627450980392,0.01764705882352941,0.02696078431372549,0.04068627450980392,0.022549019607843137,0.056862745098039215,0.039705882352941174,0.03431372549019608,0.0196078431372549,0.04411764705882353,0.03480392156862745,0.03676470588235294,0.026470588235294117,0.041666666666666664,0.015196078431372549,0.025490196078431372,0.08823529411764706,0.06813725490196078,0.03725490196078431,0.031862745098039214,0.049019607843137254,0.08872549019607844,0.039705882352941174,1 days 10:00:00
807,Frédéric MORALES,M,0.04547677261613692,0.02689486552567237,0.038141809290953545,0.018581907090464547,0.025427872860635695,0.04058679706601467,0.022982885085574573,0.06308068459657702,0.038141809290953545,0.033251833740831294,0.018581907090464547,0.02787286063569682,0.040097799511002445,0.04352078239608802,0.022982885085574573,0.045965770171149146,0.017603911980440097,0.02982885085574572,0.08410757946210269,0.07041564792176039,0.036185819070904644,0.03178484107579462,0.05232273838630807,0.08655256723716381,0.03960880195599022,1 days 10:05:00
743,Tonatihu TORRES,M,0.04594330400782014,0.024926686217008796,0.036656891495601175,0.019550342130987292,0.026881720430107527,0.039100684261974585,0.02297165200391007,0.05913978494623656,0.03812316715542522,0.030303030303030304,0.01906158357771261,0.02932551319648094,0.03763440860215054,0.041544477028347994,0.02541544477028348,0.03812316715542522,0.016129032258064516,0.033235581622678395,0.07869012707722385,0.0747800586510264,0.03763440860215054,0.03274682306940371,0.05913978494623656,0.0855327468230694,0.04740957966764418,1 days 10:06:00
1128,Antoine BERNIER,M,0.04794520547945205,0.024951076320939333,0.03767123287671233,0.014187866927592954,0.022504892367906065,0.04452054794520548,0.022504892367906065,0.06262230919765166,0.045499021526418784,0.029354207436399216,0.019569471624266144,0.05136986301369863,0.033268101761252444,0.03767123287671233,0.023972602739726026,0.036203522504892366,0.013209393346379647,0.0273972602739726,0.08904109589041095,0.06555772994129158,0.030332681017612523,0.03131115459882583,0.05430528375733855,0.0949119373776908,0.040117416829745595,1 days 10:04:00
326,Caroline HIMBERT,W,0.050268423621278674,0.028306490971205467,0.04148365056124939,0.01805758906783797,0.026842362127867253,0.041971693509028796,0.02244997559785261,0.06246949731576379,0.04148365056124939,0.03074670571010249,0.02000976085895559,0.03709126403123475,0.03806734992679356,0.04001952171791118,0.02635431918008785,0.04343582235236701,0.015129331381161543,0.02977061981454368,0.08052708638360176,0.06783796974133724,0.03611517813567594,0.031234748657881894,0.0527086383601757,0.08052708638360176,0.03709126403123475,1 days 10:09:00
1952,Steven LE HYARIC,M,0.04987775061124694,0.027383863080684596,0.044987775061124696,0.019070904645476772,0.02982885085574572,0.045965770171149146,0.022004889975550123,0.07628361858190709,0.04743276283618582,0.033251833740831294,0.018581907090464547,0.033251833740831294,0.036185819070904644,0.03569682151589242,0.022982885085574573,0.040097799511002445,0.014669926650366748,0.027383863080684596,0.07970660146699267,0.06699266503667482,0.03276283618581907,0.03374083129584352,0.04449877750611247,0.08215158924205379,0.035207823960880194,1 days 10:05:00
1054,Nicolas BONNEAU,M,0.05417276720351391,0.029282576866764276,0.04148365056124939,0.02000976085895559,0.024890190336749635,0.043923865300146414,0.02342606149341142,0.06686188384577843,0.03806734992679356,0.03074670571010249,0.016105417276720352,0.027818448023426062,0.042947779404587605,0.03904343582235237,0.02342606149341142,0.04636408003904344,0.013177159590043924,0.03367496339677892,0.0854075158613958,0.06539775500244022,0.03709126403123475,0.03318692044899951,0.04880429477794046,0.08296730112249878,0.0317227916056613,1 days 10:09:00
1547,Charles VAN HAVERBEKE,M,0.05012165450121654,0.026277372262773723,0.0413625304136253,0.01508515815085158,0.026277372262773723,0.04330900243309002,0.017518248175182483,0.06326034063260341,0.037469586374695864,0.03309002433090024,0.01800486618004866,0.028710462287104624,0.040389294403892946,0.035523114355231145,0.036982968369829686,0.058394160583941604,0.012165450121654502,0.02579075425790754,0.0827250608272506,0.06763990267639902,0.030656934306569343,0.037469586374695864,0.054501216545012166,0.08369829683698297,0.033576642335766425,1 days 10:15:00
