Doss.,Prénom Nom,genre,Col  Voza,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit ,Courmayeur,Bertone,Arnouvaz,Col Ferret,La Fouly,Champex,Plan l'Au,La Giète,Trient,Tseppes,Vallorcine,T.auxVents,La Flégère,Chamonix,Total
405,Christophe PIMENTA,M,0.04274985557481225,0.023108030040439053,0.0340843443096476,0.040439052570768345,0.05545927209705372,0.020219526285384173,0.06874638937030618,0.03697284806470248,0.03119584055459272,0.019641825534373193,0.040439052570768345,0.05314846909300982,0.06874638937030618,0.05719237435008666,0.05025996533795494,0.06643558636626228,0.02830733679953784,0.05025996533795494,0.023108030040439053,0.03755054881571346,0.04274985557481225,0.06008087810514154,0.02079722703639515,0.02830733679953784,1 days 04:51:00
425,Cesar DUARTE,M,0.053509781357882626,0.02704257767548907,0.039700805523590336,0.04833141542002301,0.04200230149597238,0.018411967779056387,0.06386651323360185,0.04257767548906789,0.03394706559263521,0.02186421173762946,0.03049482163406214,0.04257767548906789,0.0661680092059839,0.04372842347525892,0.04487917146144994,0.07767548906789414,0.029344073647871116,0.05005753739930955,0.024165707710011506,0.03567318757192175,0.043153049482163405,0.06214039125431531,0.02474108170310702,0.03394706559263521,1 days 04:58:00
380,Masazumi FUJIOKA,M,0.05057471264367816,0.027011494252873563,0.04310344827586207,0.04310344827586207,0.04252873563218391,0.016666666666666666,0.06379310344827586,0.03793103448275862,0.03103448275862069,0.017816091954022988,0.03045977011494253,0.04310344827586207,0.06379310344827586,0.04885057471264368,0.04482758620689655,0.08045977011494253,0.031609195402298854,0.05574712643678161,0.02586206896551724,0.039655172413793106,0.035632183908045977,0.06666666666666667,0.02528735632183908,0.034482758620689655,1 days 05:00:00
93,Sangé SHERPA,M,0.04305396096440873,0.023536165327210104,0.03329506314580941,0.03673938002296211,,,0.0574052812858783,0.032721010332950634,0.02812858783008037,0.016073478760045924,0.022962112514351322,0.045924225028702644,0.06544202066590127,0.045924225028702644,0.04649827784156142,0.07233065442020666,0.045924225028702644,0.07347876004592423,0.02640642939150402,0.04075774971297359,0.05109070034443169,0.06888633754305395,0.023536165327210104,0.04879448909299656,1 days 05:02:00
323,Nicola POGGI,M,0.04868270332187858,0.02577319587628866,0.03722794959908362,0.03951890034364261,0.04066437571592211,0.016036655211912942,0.06128293241695303,0.035509736540664374,0.0286368843069874,0.01718213058419244,0.022909507445589918,0.0418098510882016,0.06071019473081329,0.041237113402061855,0.03951890034364261,0.06357388316151202,0.025200458190148912,0.053837342497136315,0.023482245131729668,0.03837342497136312,0.08018327605956473,0.07560137457044673,0.030927835051546393,0.05211912943871707,1 days 05:06:00
598,Douglas CLARK,M,0.048109965635738834,0.025200458190148912,0.037800687285223365,0.04066437571592211,0.0418098510882016,0.01718213058419244,0.06128293241695303,0.038946162657502864,0.029782359679266894,0.019473081328751432,0.029782359679266894,0.0418098510882016,0.06471935853379153,0.0429553264604811,0.04524627720504009,0.08190148911798396,0.0286368843069874,0.05899198167239404,0.029782359679266894,0.03837342497136312,0.0441008018327606,0.06815578465063,0.026345933562428408,0.038946162657502864,1 days 05:06:00
416,Arthur CAFFIER,M,0.05097365406643757,0.027491408934707903,0.041237113402061855,0.048109965635738834,0.043528064146620846,0.01718213058419244,0.06815578465063,0.03951890034364261,0.033218785796105384,0.019473081328751432,0.032073310423825885,0.042382588774341354,0.06471935853379153,0.048109965635738834,0.044673539518900345,0.072737686139748,0.030355097365406643,0.05784650630011455,0.024054982817869417,0.035509736540664374,0.041237113402061855,0.06128293241695303,0.023482245131729668,0.03264604810996564,1 days 05:06:00
743,Jean-Baptiste CHARLIN,M,0.05956471935853379,0.030355097365406643,0.0441008018327606,0.04753722794959908,,,0.07101947308132875,0.038946162657502864,0.032073310423825885,0.019473081328751432,0.03379152348224513,0.038946162657502864,0.06013745704467354,0.03951890034364261,0.0429553264604811,0.072737686139748,0.030927835051546393,0.050400916380297825,0.024054982817869417,0.038946162657502864,0.0441008018327606,0.06414662084765177,0.022336769759450172,0.03379152348224513,1 days 05:06:00
461,Eoin KEITH,M,0.05202973127501429,0.02801600914808462,0.0411663807890223,0.045740423098913664,0.04859919954259577,0.019439679817038306,0.06575185820468839,0.040022870211549454,0.029731275014293884,0.018296169239565466,0.023441966838193252,0.045740423098913664,0.07089765580331618,0.04516866781017725,0.04516866781017725,0.0714694110920526,0.02801600914808462,0.053744997141223556,0.025728987993138937,0.03544882790165809,0.04059462550028588,0.06803887935963408,0.024013722126929673,0.033733562035448826,1 days 05:09:00
542,Florian BOURGEY,M,0.052571428571428575,0.029142857142857144,0.04342857142857143,0.046285714285714284,0.04342857142857143,0.018285714285714287,0.06914285714285714,0.04,0.03142857142857143,0.019428571428571427,0.026857142857142857,0.04342857142857143,0.064,0.045142857142857144,0.04228571428571429,0.07485714285714286,0.03142857142857143,0.056,0.024,0.03942857142857143,0.04228571428571429,0.064,0.022285714285714287,0.030857142857142857,1 days 05:10:00
