bib,name,status,category,sex,country,Départ,P7,Peyreleau,St André,La Roque,Pierrefich,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
51,Ugo FERRARI,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:12.000+00:00,2023-10-22T07:12:42.000+00:00,2023-10-22T08:25:22.000+00:00,2023-10-22T09:27:06.000+00:00,2023-10-22T09:50:41.000+00:00,2023-10-22T10:31:26.000+00:00,2023-10-22T11:31:48.000+00:00,2023-10-22T11:58:19.000+00:00,2023-10-22T12:31:43.000+00:00,2023-10-22T13:09:55.000+00:00,2023-10-22T13:27:58.000+00:00,
62,David AGOGUET,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:03:35.000+00:00,2023-10-22T07:12:06.000+00:00,2023-10-22T08:25:22.000+00:00,2023-10-22T09:28:24.000+00:00,2023-10-22T09:52:49.000+00:00,2023-10-22T10:31:39.000+00:00,2023-10-22T11:29:03.000+00:00,2023-10-22T11:56:01.000+00:00,2023-10-22T12:32:19.000+00:00,2023-10-22T13:13:58.000+00:00,2023-10-22T13:43:17.000+00:00,
193,Geoffrey ROCHA,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:03:15.000+00:00,2023-10-22T07:10:18.000+00:00,2023-10-22T08:23:45.000+00:00,2023-10-22T09:26:25.000+00:00,2023-10-22T09:51:05.000+00:00,2023-10-22T10:32:10.000+00:00,2023-10-22T11:32:28.000+00:00,2023-10-22T11:58:20.000+00:00,2023-10-22T12:33:40.000+00:00,2023-10-22T13:14:30.000+00:00,2023-10-22T13:34:03.000+00:00,
44,Clement BARRET,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:23.000+00:00,2023-10-22T07:02:01.000+00:00,2023-10-22T08:10:00.000+00:00,2023-10-22T09:09:27.000+00:00,,2023-10-22T10:19:36.000+00:00,2023-10-22T11:22:17.000+00:00,2023-10-22T11:49:14.000+00:00,2023-10-22T12:27:16.000+00:00,2023-10-22T13:10:34.000+00:00,2023-10-22T13:34:09.000+00:00,
255,Benoît HOLZERNY,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:56.000+00:00,2023-10-22T07:16:11.000+00:00,2023-10-22T08:27:08.000+00:00,2023-10-22T09:31:21.000+00:00,2023-10-22T09:54:49.000+00:00,2023-10-22T10:32:10.000+00:00,2023-10-22T11:33:19.000+00:00,2023-10-22T11:58:49.000+00:00,2023-10-22T12:32:58.000+00:00,2023-10-22T13:15:25.000+00:00,2023-10-22T13:46:09.000+00:00,
68,Jeffrey FLEURY,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:53.000+00:00,2023-10-22T07:16:10.000+00:00,2023-10-22T08:29:06.000+00:00,2023-10-22T09:34:37.000+00:00,2023-10-22T09:58:49.000+00:00,2023-10-22T10:38:43.000+00:00,2023-10-22T11:39:28.000+00:00,2023-10-22T12:04:17.000+00:00,2023-10-22T12:39:32.000+00:00,2023-10-22T13:19:48.000+00:00,2023-10-22T14:03:06.000+00:00,
196,Nicolas ABBAL,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:07:31.000+00:00,2023-10-22T07:19:40.000+00:00,2023-10-22T08:33:43.000+00:00,2023-10-22T09:35:19.000+00:00,2023-10-22T09:59:49.000+00:00,2023-10-22T10:38:54.000+00:00,2023-10-22T11:39:01.000+00:00,2023-10-22T12:04:17.000+00:00,2023-10-22T12:39:04.000+00:00,2023-10-22T13:19:46.000+00:00,2023-10-22T13:46:06.000+00:00,
206,Dévrig BOUILLET,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:13.000+00:00,2023-10-22T07:13:30.000+00:00,2023-10-22T08:31:28.000+00:00,2023-10-22T09:37:03.000+00:00,2023-10-22T10:01:46.000+00:00,2023-10-22T10:41:28.000+00:00,2023-10-22T11:42:55.000+00:00,2023-10-22T12:10:10.000+00:00,2023-10-22T12:41:28.000+00:00,2023-10-22T13:20:31.000+00:00,2023-10-22T13:44:51.000+00:00,
12,Gemma ARENAS ALCAZAR,FINISHER,M1-M2F,FEMALE,ES,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:26.000+00:00,2023-10-22T07:15:12.000+00:00,2023-10-22T08:29:18.000+00:00,2023-10-22T09:33:38.000+00:00,2023-10-22T09:58:58.000+00:00,2023-10-22T10:38:59.000+00:00,2023-10-22T11:40:19.000+00:00,2023-10-22T12:07:02.000+00:00,2023-10-22T12:43:32.000+00:00,2023-10-22T13:22:34.000+00:00,2023-10-22T14:58:40.000+00:00,
86,Pierre-Antoine CUEFF,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:06.000+00:00,2023-10-22T07:13:30.000+00:00,2023-10-22T08:24:26.000+00:00,2023-10-22T09:27:26.000+00:00,2023-10-22T09:52:14.000+00:00,2023-10-22T10:34:58.000+00:00,2023-10-22T11:39:21.000+00:00,2023-10-22T12:06:55.000+00:00,2023-10-22T12:45:36.000+00:00,2023-10-22T13:27:54.000+00:00,2023-10-22T13:47:06.000+00:00,
