bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
3172,Jean Charles BRETON,00:40:04,7,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
3365,Noël GIORDANO,00:40:20,8,MALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
4276,Loïc BOYER,00:40:20,9,MALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
4398,Nicolas MARCY,00:40:24,10,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
3050,Nicolas DRAPPIER,00:40:34,11,MALE,2025,Aurère → Deux Bras,Deux Bras,Aurère,False
4506,Antoine COMPAROT,00:40:43,12,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
3845,Axelle HENRY,00:44:25,1,FEMALE,2023,Aurère → Deux Bras,Deux Bras,Aurère,False
4190,Adeline VITRY,00:47:54,2,FEMALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
3750,Lucie CUISSET,00:48:37,3,FEMALE,2025,Aurère → Deux Bras,Deux Bras,Aurère,False
4081,Victoria DEVOUGE,00:48:38,4,FEMALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
3285,Laure REBUFFET,00:48:47,5,FEMALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
4259,Camille PELTIER,00:48:49,6,FEMALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
4109,Louise BENEVENT,00:49:15,7,FEMALE,2025,Aurère → Deux Bras,Deux Bras,Aurère,False
3294,Camille ANCIAUX,00:49:30,8,FEMALE,2023,Aurère → Deux Bras,Deux Bras,Aurère,False
3394,Amélie HUCHET,00:49:43,9,FEMALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
3731,Thaïs PIBOULEAU,00:49:45,10,FEMALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
3013,Hortense BEGUE,00:49:47,11,FEMALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
3507,Claire JACQUET,00:50:35,12,FEMALE,2025,Aurère → Deux Bras,Deux Bras,Aurère,False
4457,Matis FUGIER,00:55:39,1,MALE,2024,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4632,Loïc BOYER,00:56:40,2,MALE,2023,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3416,Orlan AYADEN,00:56:43,3,MALE,2023,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4513,Moises JIMENEZ,00:57:31,4,MALE,2022,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3354,Orlan AYADEN,00:58:32,5,MALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3304,Emmanuel HADOUX,00:58:38,6,MALE,2022,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4302,Nirina HAJA,00:58:54,7,MALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3759,Alexandre DEPECHE,00:58:56,8,MALE,2024,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3329,Logan ETTER,00:59:05,9,MALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3393,Matis FUGIER,00:59:15,10,MALE,2023,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4506,Antoine COMPAROT,00:59:32,11,MALE,2024,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3050,Nicolas DRAPPIER,00:59:41,12,MALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3845,Axelle HENRY,01:02:25,1,FEMALE,2023,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3394,Amélie HUCHET,01:07:58,2,FEMALE,2022,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3436,Marine SECHET,01:08:25,3,FEMALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3285,Laure REBUFFET,01:09:14,4,FEMALE,2024,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3507,Claire JACQUET,01:10:02,5,FEMALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4073,Maëlys DEVOS,01:10:27,6,FEMALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3013,Hortense BEGUE,01:10:32,7,FEMALE,2022,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4004,Morgane SATGE,01:11:53,8,FEMALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3234,Anne-Laure ROUX,01:12:11,9,FEMALE,2022,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
4094,Morgane LEFEUVRE,01:12:17,10,FEMALE,2025,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3294,Camille ANCIAUX,01:12:25,11,FEMALE,2023,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3731,Thaïs PIBOULEAU,01:12:28,12,FEMALE,2024,Deux Bras → Dos d'Ane,Dos d'Ane,Deux Bras,False
3304,Emmanuel HADOUX,00:15:27,1,MALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4186,Rivosoa Hobilalaina ANDRIANIRINA,00:15:54,2,MALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3172,Jean Charles BRETON,00:15:54,3,MALE,2024,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3354,Orlan AYADEN,00:16:04,4,MALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3365,Noël GIORDANO,00:16:10,5,MALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3242,Mathis FLAMANT,00:16:11,6,MALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4204,Paolo VELLE,00:16:12,7,MALE,2024,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4632,Loïc BOYER,00:16:18,8,MALE,2023,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3416,Orlan AYADEN,00:16:20,9,MALE,2023,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3745,Jonathan HOARAU,00:16:20,10,MALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4513,Moises JIMENEZ,00:16:27,11,MALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4506,Antoine COMPAROT,00:16:40,12,MALE,2024,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3845,Axelle HENRY,00:17:37,1,FEMALE,2023,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3285,Laure REBUFFET,00:18:22,2,FEMALE,2024,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4094,Morgane LEFEUVRE,00:19:08,3,FEMALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4527,Margaux BEYRE,00:19:24,4,FEMALE,2024,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3972,Mar SORIANO MARTINEZ,00:19:45,5,FEMALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3394,Amélie HUCHET,00:19:52,6,FEMALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3294,Camille ANCIAUX,00:19:55,7,FEMALE,2023,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4081,Victoria DEVOUGE,00:19:57,8,FEMALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3102,Armelle BONNET,00:20:32,9,FEMALE,2022,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
3436,Marine SECHET,00:20:48,10,FEMALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4365,Chloé MERIEL,00:20:49,11,FEMALE,2025,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4478,Chloé COMBES,00:20:50,12,FEMALE,2024,Dos d'Ane → Ratinaud,Ratinaud,Dos d'Ane,False
4632,Loïc BOYER,00:52:15,1,MALE,2023,Ratinaud → Possession,Possession,Ratinaud,False
4160,Rivosoa Hobilalaina ANDRIANIRINA,00:53:23,2,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
4513,Moises JIMENEZ,00:54:09,3,MALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
3365,Noël GIORDANO,00:54:23,4,MALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
3304,Emmanuel HADOUX,00:54:55,5,MALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
3354,Orlan AYADEN,00:55:02,6,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
4398,Nicolas MARCY,00:55:52,7,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
3172,Jean Charles BRETON,00:56:02,8,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
4302,Nirina HAJA,00:56:09,9,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
3393,Matis FUGIER,00:56:25,10,MALE,2023,Ratinaud → Possession,Possession,Ratinaud,False
4457,Matis FUGIER,00:56:30,11,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
4204,Paolo VELLE,00:57:05,12,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
3845,Axelle HENRY,01:01:02,1,FEMALE,2023,Ratinaud → Possession,Possession,Ratinaud,False
4081,Victoria DEVOUGE,01:07:57,2,FEMALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
3013,Hortense BEGUE,01:08:35,3,FEMALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
3394,Amélie HUCHET,01:09:18,4,FEMALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
