bib,name,status,category,sex,country,Départ,P7,Cresse,Rozier,Truel,St André,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,Arrivée,MassebiauD
3611,Xavier GUIRONNET,FINISHER,S-M0H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:22:40.000+00:00,2023-10-20T06:30:33.000+00:00,2023-10-20T08:27:51.000+00:00,2023-10-20T11:09:50.000+00:00,2023-10-20T14:46:31.000+00:00,2023-10-20T17:19:06.000+00:00,2023-10-20T19:26:24.000+00:00,2023-10-20T21:45:02.000+00:00,2023-10-20T22:55:25.000+00:00,2023-10-21T00:06:58.000+00:00,2023-10-21T01:54:11.000+00:00,
4110,Théo QUENARDELLE,FINISHER,S-M0H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:33:39.000+00:00,2023-10-20T06:47:12.000+00:00,2023-10-20T08:42:36.000+00:00,2023-10-20T11:04:42.000+00:00,2023-10-20T14:07:41.000+00:00,2023-10-20T16:40:23.000+00:00,2023-10-20T19:01:11.000+00:00,2023-10-20T21:28:03.000+00:00,2023-10-20T22:32:57.000+00:00,2023-10-20T23:55:01.000+00:00,2023-10-21T01:47:26.000+00:00,
4000,Thierry COULON,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:25:57.000+00:00,2023-10-20T06:35:44.000+00:00,2023-10-20T08:31:37.000+00:00,2023-10-20T11:08:06.000+00:00,2023-10-20T14:34:29.000+00:00,2023-10-20T16:54:24.000+00:00,2023-10-20T19:13:17.000+00:00,2023-10-20T21:29:04.000+00:00,2023-10-20T22:36:20.000+00:00,2023-10-21T00:03:36.000+00:00,2023-10-21T01:48:40.000+00:00,
3960,Maxime ROTGER,FINISHER,S-M0H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:33:21.000+00:00,2023-10-20T06:47:26.000+00:00,2023-10-20T08:47:22.000+00:00,2023-10-20T11:16:00.000+00:00,2023-10-20T14:33:59.000+00:00,2023-10-20T17:05:51.000+00:00,2023-10-20T19:12:06.000+00:00,2023-10-20T21:41:12.000+00:00,2023-10-20T22:42:20.000+00:00,2023-10-20T23:56:11.000+00:00,2023-10-21T01:48:54.000+00:00,
3843,Damien TISON,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:34:41.000+00:00,2023-10-20T06:51:39.000+00:00,2023-10-20T08:54:25.000+00:00,2023-10-20T11:32:45.000+00:00,2023-10-20T14:53:25.000+00:00,2023-10-20T17:39:38.000+00:00,2023-10-20T19:47:54.000+00:00,2023-10-20T21:55:07.000+00:00,2023-10-20T23:00:33.000+00:00,2023-10-21T00:10:45.000+00:00,2023-10-21T01:48:59.000+00:00,
3749,Fabien TROUILLARD,FINISHER,S-M0H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:25:31.000+00:00,2023-10-20T06:36:17.000+00:00,2023-10-20T08:32:27.000+00:00,2023-10-20T11:04:54.000+00:00,2023-10-20T14:19:50.000+00:00,2023-10-20T16:57:31.000+00:00,2023-10-20T19:11:23.000+00:00,2023-10-20T21:31:45.000+00:00,2023-10-20T22:37:37.000+00:00,2023-10-20T23:53:30.000+00:00,2023-10-21T01:49:09.000+00:00,
3480,Sophie AGUSSOL,FINISHER,S-M0F,FEMALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:11:18.000+00:00,2023-10-20T06:18:18.000+00:00,2023-10-20T08:06:39.000+00:00,2023-10-20T10:34:12.000+00:00,2023-10-20T13:38:24.000+00:00,2023-10-20T16:16:21.000+00:00,2023-10-20T18:32:54.000+00:00,2023-10-20T20:50:28.000+00:00,2023-10-20T22:04:40.000+00:00,2023-10-20T23:32:18.000+00:00,2023-10-21T01:49:33.000+00:00,
3211,Jean-François HENRY,FINISHER,M1-M2H,MALE,BR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:14:25.000+00:00,2023-10-20T06:19:40.000+00:00,2023-10-20T08:14:43.000+00:00,2023-10-20T10:35:17.000+00:00,2023-10-20T13:43:08.000+00:00,2023-10-20T16:26:05.000+00:00,2023-10-20T18:31:36.000+00:00,2023-10-20T20:50:29.000+00:00,2023-10-20T22:04:35.000+00:00,2023-10-20T23:32:17.000+00:00,2023-10-21T01:49:33.000+00:00,
3880,Sylvain ABGRALL,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:20:07.000+00:00,2023-10-20T06:27:39.000+00:00,2023-10-20T08:14:42.000+00:00,2023-10-20T10:45:02.000+00:00,2023-10-20T13:52:07.000+00:00,2023-10-20T16:06:23.000+00:00,2023-10-20T18:21:22.000+00:00,2023-10-20T20:50:28.000+00:00,2023-10-20T22:04:41.000+00:00,2023-10-20T23:32:06.000+00:00,2023-10-21T01:49:34.000+00:00,
3965,Pietro MAZZAGLIA,FINISHER,M3-M4H,MALE,BE,2023-10-20T04:00:16.000+00:00,2023-10-20T05:29:38.000+00:00,2023-10-20T06:41:33.000+00:00,2023-10-20T08:41:41.000+00:00,2023-10-20T11:14:50.000+00:00,2023-10-20T14:29:57.000+00:00,2023-10-20T17:00:36.000+00:00,2023-10-20T19:11:46.000+00:00,2023-10-20T21:54:54.000+00:00,2023-10-20T23:00:20.000+00:00,2023-10-21T00:16:18.000+00:00,2023-10-21T01:50:15.000+00:00,
