year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7057,le grand raid de la réunion - la diagonale des fous,175000.0,10107,MALE,100M,1939,64:18:08,2024,FR
2025,7057,uttn ultra trail tour de nancy - uttn chardon ,70650.0,2200,MALE,50K,90,10:41:00,2024,FR
2025,7057,ecotrail paris® - trail 80km,82000.0,1300,MALE,50K,2265,13:10:32,2024,FR
2025,7057,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,1095,20:28:17,2022,FR
2025,7058,la 6000d trail de légende - la 6000d en relais à 3 - section 3,20400.0,190,FEMALE,20K,43,02:02:21,2025,FR
2025,7058,trail des coursières - 50 km des coursieres,50000.0,2200,FEMALE,50K,177,06:49:18,2025,FR
2025,7058,la asics saintélyon - saintexpress,45000.0,906,FEMALE,50K,795,05:25:35,2024,FR
2025,7058,trail la frison roche - challenge frison,24000.0,1370,FEMALE,20K,31,02:57:50,2024,FR
2025,7058,trail hivernal des coursières - 32 km,32400.0,1100,FEMALE,20K,332,03:51:41,2024,FR
2025,7060,le grand raid de la réunion - trail de bourbon,109000.0,6328,MALE,100M,476,33:07:02,2023,FR
2025,7060,le grand raid de la réunion - la diagonale des fous,168400.0,10250,MALE,100M,1413,55:00:10,2022,FR
2025,7060,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,431,16:53:03,2021,FR
2025,7061,le grand raid de la réunion - la mascareignes,70000.0,3829,FEMALE,100K,383,14:58:25,2024,FR
2025,7061,cimasarun - cumasarun,56200.0,3818,FEMALE,50K,365,11:34:30,2024,FR
2025,7061,le grand raid de la réunion - la diagonale des fous,167300.0,9710,FEMALE,100M,1277,52:26:07,2023,FR
2025,7061,le grand raid de la réunion - trail de bourbon,109200.0,5960,FEMALE,100K,429,33:43:03,2022,FR
2025,7061,le grand raid de la réunion - zembrocal trail relais2,38100.0,1300,FEMALE,50K,16,04:23:06,2021,FR
2025,7062,trail des 3 pics - 3 pics m,22500.0,1410,MALE,20K,196,03:54:39,2024,FR
2025,7069,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,832,18:43:03,2022,FR
2025,7070,trail la rosiere - 22 km,22210.0,1495,MALE,20K,143,04:06:01,2025,FR
2025,7070,pilatrail - traversée des 3 dents,21000.0,1200,MALE,20K,355,03:32:45,2025,FR
2025,7070,lyon urban trail - 25 km,25700.0,990,MALE,20K,1129,03:09:46,2025,FR
2025,7070,la asics saintélyon - saintexpress,45000.0,906,MALE,50K,2603,06:54:20,2024,FR
2025,7070,trail la rosiere - 15 km,15000.0,800,MALE,20K,133,02:25:55,2024,FR
2025,7070,pilatrail - traversée des 3 dents,21000.0,1200,MALE,20K,208,03:25:33,2024,FR
2025,7070,lyon urban trail - 14 km,14160.0,500,MALE,,622,01:33:49,2024,FR
2025,7070,la asics saintélyon - la saintétic,13000.0,193,MALE,,461,01:17:44,2023,FR
2025,7070,lyon urban trail by night - 8 km,7000.0,300,MALE,,362,01:00:54,2023,FR
2025,7070,pilatrail - traversée des 3 dents,21000.0,1150,MALE,20K,413,04:09:19,2023,FR
2025,7070,trail des forts de besançon - 21km,21000.0,710,MALE,20K,1282,02:53:19,2023,FR
2025,7070,lyon urban trail - 14 km,14000.0,550,MALE,,673,01:42:07,2023,FR
2025,7070,la asics saintélyon - la saintésprint,24000.0,520,MALE,20K,1482,03:09:49,2022,FR
2025,7070,lyon urban trail by night - 15kms,15300.0,530,MALE,20K,1086,01:47:25,2022,FR
2025,7071,l'ultra marin raid golfe du morbihan - grand relais - n°4,35470.0,271,FEMALE,20K,168,03:45:04,2024,FR
2025,7071,menestrail - le menestrail,24000.0,800,FEMALE,20K,700,03:37:05,2023,FR
2025,7071,l'ultra marin raid golfe du morbihan - ronde des douaniers 34 km,33000.0,510,FEMALE,20K,766,03:34:56,2023,FR
2025,7075,restonica trail by UTMB - gt20k,17000.0,680,MALE,20K,236,02:15:07,2025,FR
2025,7075,xtratrail lavaux - xtra 20,20000.0,870,MALE,20K,314,02:40:22,2025,CH
2025,7075,jura swiss trail - eterlou 35k,34420.0,2215,MALE,50K,208,06:01:05,2025,CH
