bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
2618,Diego PAZOS,01:55:07,9,MALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
926,Ben DHIMAN,01:55:08,10,MALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
2605,Aurelien DUNAND-PALLAZ,01:55:49,11,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
2199,Vincent ESMIOL,01:56:02,12,MALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
299,Blandine L HIRONDEL,01:57:33,1,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
2314,Manon CAMPANO,02:29:26,2,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
1036,Pauline GRARDEL,02:38:54,3,FEMALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
2037,Anne CHAMPAGNE,02:41:15,4,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
1663,Maryline NAKACHE,02:41:22,5,FEMALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
2085,Manon BOHARD,02:44:16,6,FEMALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
317,Jeanne PENFORNIS,02:45:39,7,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
699,Margot MOGIN,02:47:04,8,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
61,Silvia TRIGUEROS,02:47:05,9,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
921,Marie DOHIN,02:51:39,10,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
502,Yanid ARANGO,02:56:31,11,FEMALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
2376,Pauline BARABAN,02:57:45,12,FEMALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
317,Mathieu BLANCHARD,00:57:22,1,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
2728,Baptiste CHASSAGNE,00:59:33,2,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
