bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
7479,Leo SERCA,00:58:13,5,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7491,Grégoire RUYSSEN,00:58:28,6,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7454,Brian FRANÇOIS FILS,00:59:23,7,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7153,Jonathan COTTE,00:59:37,8,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7519,Julien HOAREAU,01:00:04,9,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7503,Christopher CAMACHETTY,01:00:07,10,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7411,Jean-Pierre CHOW-SHI-YEE,01:00:58,11,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7552,Tristan ROUX,01:01:30,12,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7455,Anne Marie JOHN,01:04:33,1,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7373,Marcelle PUY,01:04:56,2,FEMALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7572,Emma METRO,01:06:14,3,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7024,Miora RAZANAKOLONA,01:06:44,4,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7252,Sabrina SAUVE,01:08:27,5,FEMALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7354,Céline LOUIS,01:08:42,6,FEMALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7531,Lucie TRAISSAC,01:09:38,7,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7017,Nambinintsoa RAVAOARISOA,01:10:26,8,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7474,Marie QUILLEVERE,01:10:33,9,FEMALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7615,Ludivine RABUEL,01:10:39,10,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7417,Marie PERSÉE,01:15:54,11,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7252,Marie SEROC,01:16:56,12,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7613,Joseph Jean Damien RAVINA,01:17:39,1,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7032,Yoann MARTIN,01:22:52,2,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7454,Brian FRANÇOIS FILS,01:25:23,3,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7519,Julien HOAREAU,01:26:25,4,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7479,Leo SERCA,01:26:28,5,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7468,Guillaume SCHLIFFER,01:26:41,6,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7005,Benoit MARC,01:26:44,7,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7455,Anne Marie JOHN,01:28:46,1,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7355,Thibaud GERLACH,01:28:47,8,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7503,Christopher CAMACHETTY,01:29:05,9,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7572,Emma METRO,01:30:39,2,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7552,Tristan ROUX,01:31:39,10,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
7470,Pierre ESTEVIN,01:32:59,11,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7201,Yannick IMBROSCIANO,01:33:00,12,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7024,Miora RAZANAKOLONA,01:36:33,3,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7615,Ludivine RABUEL,01:36:51,4,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7531,Lucie TRAISSAC,01:37:42,5,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7509,Andrea HASLEBACHER,01:38:24,6,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7373,Marcelle PUY,01:39:15,7,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
7252,Sabrina SAUVE,01:39:46,8,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
7354,Céline LOUIS,01:43:10,9,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
7474,Marie QUILLEVERE,01:43:29,10,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
7280,Ophélie TAILLEUR,01:47:19,11,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
7481,Leslie BOURIEL,01:47:42,12,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
7491,Grégoire RUYSSEN,00:35:59,1,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7153,Jonathan COTTE,00:36:03,2,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7552,Tristan ROUX,00:37:32,3,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7109,Corentin FOURNI,00:37:46,4,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7032,Yoann MARTIN,00:38:44,5,MALE,2025,Colorado → St Denis,St Denis,Colorado,False
7454,Brian FRANÇOIS FILS,00:39:20,6,MALE,2025,Colorado → St Denis,St Denis,Colorado,False
7613,Joseph Jean Damien RAVINA,00:40:07,7,MALE,2025,Colorado → St Denis,St Denis,Colorado,False
7427,Brice Antoine DIJOUX,00:40:36,8,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7503,Christopher CAMACHETTY,00:40:37,9,MALE,2025,Colorado → St Denis,St Denis,Colorado,False
7479,Leo SERCA,00:41:15,10,MALE,2025,Colorado → St Denis,St Denis,Colorado,False
7411,Jean-Pierre CHOW-SHI-YEE,00:41:40,11,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7156,Julien WEISSENBACHER,00:41:42,12,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
7455,Anne Marie JOHN,00:43:36,1,FEMALE,2025,Colorado → St Denis,St Denis,Colorado,False
7373,Marcelle PUY,00:44:14,2,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7258,Elise DUCHEZ,00:46:36,3,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7531,Lucie TRAISSAC,00:46:43,4,FEMALE,2025,Colorado → St Denis,St Denis,Colorado,False
7024,Miora RAZANAKOLONA,00:48:17,5,FEMALE,2025,Colorado → St Denis,St Denis,Colorado,False
7252,Sabrina SAUVE,00:48:20,6,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
