bib,name,status,category,sex,country,Peyreleau,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5457,Jean-Francois LONGUET,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:11.000+00:00,2022-10-21T09:05:59.000+00:00,2022-10-21T10:19:57.000+00:00,2022-10-21T12:29:39.000+00:00,2022-10-21T14:39:25.000+00:00,2022-10-21T16:29:10.000+00:00,2022-10-21T17:26:54.000+00:00,2022-10-21T18:30:39.000+00:00,2022-10-21T19:09:37.000+00:00,2022-10-21T20:00:57.000+00:00
5555,Jean-Michel DIRASSAR,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:25.000+00:00,2022-10-21T09:10:26.000+00:00,2022-10-21T10:24:14.000+00:00,2022-10-21T12:24:07.000+00:00,2022-10-21T14:34:01.000+00:00,2022-10-21T16:35:50.000+00:00,2022-10-21T17:29:39.000+00:00,2022-10-21T18:33:34.000+00:00,2022-10-21T19:19:09.000+00:00,2022-10-21T19:58:40.000+00:00
5060,Nicolas CAMPOS,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:05.000+00:00,2022-10-21T09:07:55.000+00:00,2022-10-21T10:16:27.000+00:00,2022-10-21T12:18:20.000+00:00,2022-10-21T14:49:30.000+00:00,2022-10-21T16:26:27.000+00:00,2022-10-21T17:20:02.000+00:00,2022-10-21T18:32:28.000+00:00,2022-10-21T19:19:09.000+00:00,2022-10-21T20:00:48.000+00:00
5094,Jean Claude PRUAL,FINISHER,M5-M6H,MALE,FR,2022-10-21T06:50:32.000+00:00,2022-10-21T08:57:38.000+00:00,2022-10-21T10:24:58.000+00:00,2022-10-21T12:38:44.000+00:00,2022-10-21T14:55:46.000+00:00,2022-10-21T16:48:41.000+00:00,2022-10-21T17:43:46.000+00:00,2022-10-21T18:45:19.000+00:00,2022-10-21T19:22:20.000+00:00,2022-10-21T20:01:12.000+00:00
5433,Pascal PIVETEAU,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:10.000+00:00,2022-10-21T09:06:07.000+00:00,2022-10-21T10:20:11.000+00:00,2022-10-21T12:32:53.000+00:00,2022-10-21T14:51:15.000+00:00,2022-10-21T16:35:10.000+00:00,2022-10-21T17:28:36.000+00:00,2022-10-21T18:33:42.000+00:00,2022-10-21T19:20:53.000+00:00,2022-10-21T20:03:36.000+00:00
5432,Jessy BICHON,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:10.000+00:00,2022-10-21T09:01:23.000+00:00,2022-10-21T10:12:28.000+00:00,2022-10-21T12:03:39.000+00:00,2022-10-21T14:15:08.000+00:00,2022-10-21T16:18:21.000+00:00,2022-10-21T17:23:32.000+00:00,2022-10-21T18:33:43.000+00:00,2022-10-21T19:21:44.000+00:00,2022-10-21T20:03:37.000+00:00
5578,Thierry GINOUVES,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:38.000+00:00,2022-10-21T09:09:08.000+00:00,2022-10-21T10:22:51.000+00:00,2022-10-21T12:30:28.000+00:00,2022-10-21T14:33:03.000+00:00,2022-10-21T16:37:18.000+00:00,2022-10-21T17:38:09.000+00:00,2022-10-21T18:41:00.000+00:00,2022-10-21T19:21:21.000+00:00,2022-10-21T20:03:43.000+00:00
5150,Julien REPUSSARD,FINISHER,SE H,MALE,FR,2022-10-21T06:50:32.000+00:00,2022-10-21T08:45:14.000+00:00,2022-10-21T09:56:23.000+00:00,2022-10-21T11:49:48.000+00:00,2022-10-21T14:09:12.000+00:00,2022-10-21T16:20:42.000+00:00,2022-10-21T17:28:48.000+00:00,2022-10-21T18:55:47.000+00:00,2022-10-21T19:31:49.000+00:00,2022-10-21T20:08:57.000+00:00
5406,Fabrice BOROT,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:10.000+00:00,2022-10-21T09:16:01.000+00:00,2022-10-21T10:39:05.000+00:00,2022-10-21T12:51:01.000+00:00,2022-10-21T15:04:54.000+00:00,2022-10-21T16:55:32.000+00:00,2022-10-21T17:49:12.000+00:00,2022-10-21T18:51:19.000+00:00,2022-10-21T19:25:22.000+00:00,2022-10-21T20:08:20.000+00:00
5167,Elisabeth GROUT,FINISHER,M5-M6F,FEMALE,FR,2022-10-21T07:05:31.000+00:00,2022-10-21T09:18:21.000+00:00,2022-10-21T10:33:43.000+00:00,2022-10-21T12:38:15.000+00:00,2022-10-21T14:47:52.000+00:00,2022-10-21T16:46:11.000+00:00,2022-10-21T17:47:44.000+00:00,2022-10-21T18:52:42.000+00:00,2022-10-21T19:28:51.000+00:00,2022-10-21T20:09:08.000+00:00
