bib,name,status,category,sex,country,Peyreleau,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5572,Sébastien GILBERT,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:50:49.000+00:00,2023-10-20T12:13:17.000+00:00,2023-10-20T14:18:59.000+00:00,2023-10-20T16:36:11.000+00:00,2023-10-20T17:28:51.000+00:00,2023-10-20T18:40:55.000+00:00,2023-10-20T19:29:27.000+00:00,2023-10-20T20:14:22.000+00:00
5573,Freddy DOUILLARD,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:50:49.000+00:00,2023-10-20T12:13:22.000+00:00,2023-10-20T14:18:58.000+00:00,2023-10-20T16:36:12.000+00:00,2023-10-20T17:28:50.000+00:00,2023-10-20T18:40:54.000+00:00,2023-10-20T19:29:29.000+00:00,2023-10-20T20:14:23.000+00:00
5446,Simon VANDENBULCKE,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:11:12.000+00:00,2023-10-20T12:22:27.000+00:00,2023-10-20T14:28:35.000+00:00,2023-10-20T16:34:21.000+00:00,2023-10-20T17:33:34.000+00:00,2023-10-20T18:39:42.000+00:00,2023-10-20T19:20:58.000+00:00,2023-10-20T20:15:38.000+00:00
5445,Maelle PRAS,FINISHER,S-M0F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:11:14.000+00:00,2023-10-20T12:22:25.000+00:00,2023-10-20T14:28:45.000+00:00,2023-10-20T16:35:52.000+00:00,2023-10-20T17:33:36.000+00:00,2023-10-20T18:39:53.000+00:00,2023-10-20T19:21:03.000+00:00,2023-10-20T20:15:38.000+00:00
5402,Willy AMALIR,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:10:19.000+00:00,2023-10-20T12:23:13.000+00:00,2023-10-20T14:32:01.000+00:00,2023-10-20T16:34:02.000+00:00,2023-10-20T17:36:32.000+00:00,2023-10-20T18:43:36.000+00:00,2023-10-20T19:22:00.000+00:00,2023-10-20T20:15:52.000+00:00
5616,Jeremy DELEPLANQUE,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:56:47.000+00:00,2023-10-20T12:18:48.000+00:00,2023-10-20T14:19:29.000+00:00,2023-10-20T16:43:43.000+00:00,2023-10-20T17:48:34.000+00:00,2023-10-20T18:46:48.000+00:00,2023-10-20T19:27:37.000+00:00,2023-10-20T20:19:17.000+00:00
5459,Florence DULAC,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:56:35.000+00:00,2023-10-20T12:12:02.000+00:00,2023-10-20T14:17:21.000+00:00,2023-10-20T16:31:53.000+00:00,2023-10-20T17:22:24.000+00:00,2023-10-20T18:37:57.000+00:00,2023-10-20T19:30:54.000+00:00,2023-10-20T20:20:13.000+00:00
5456,Serge PAGNAT,FINISHER,M5-M6H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:02:57.000+00:00,2023-10-20T12:20:03.000+00:00,2023-10-20T14:29:42.000+00:00,2023-10-20T16:37:09.000+00:00,2023-10-20T17:36:59.000+00:00,2023-10-20T18:48:23.000+00:00,2023-10-20T19:25:54.000+00:00,2023-10-20T20:27:32.000+00:00
5540,Audrey ROBERT,FINISHER,M1-M2F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:03:11.000+00:00,2023-10-20T12:13:17.000+00:00,2023-10-20T14:18:18.000+00:00,2023-10-20T16:26:19.000+00:00,2023-10-20T17:26:22.000+00:00,2023-10-20T18:45:02.000+00:00,2023-10-20T19:35:32.000+00:00,2023-10-20T20:28:56.000+00:00
5398,Vincent ROUSCHE,FINISHER,M1-M2H,MALE,BE,2023-10-20T07:05:38.000+00:00,2023-10-20T09:52:04.000+00:00,2023-10-20T12:10:48.000+00:00,2023-10-20T14:29:13.000+00:00,2023-10-20T16:49:35.000+00:00,2023-10-20T17:39:32.000+00:00,2023-10-20T18:57:17.000+00:00,2023-10-20T19:49:38.000+00:00,2023-10-20T21:19:04.000+00:00
5625,Jason TALIBARD,FINISHER,S-M0H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:02:06.000+00:00,2023-10-20T12:10:58.000+00:00,2023-10-20T14:23:56.000+00:00,2023-10-20T16:56:27.000+00:00,2023-10-20T18:14:56.000+00:00,2023-10-20T19:20:27.000+00:00,2023-10-20T19:52:35.000+00:00,2023-10-20T20:37:28.000+00:00
5390,Magdalena DURET,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:08:36.000+00:00,2023-10-20T12:22:56.000+00:00,2023-10-20T14:32:48.000+00:00,2023-10-20T16:38:24.000+00:00,2023-10-20T17:36:12.000+00:00,2023-10-20T18:51:28.000+00:00,2023-10-20T19:39:56.000+00:00,2023-10-20T20:32:24.000+00:00
5341,Pauline GRIT,FINISHER,S-M0F,FEMALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T09:21:16.000+00:00,2023-10-20T11:17:19.000+00:00,2023-10-20T13:04:59.000+00:00,2023-10-20T15:20:57.000+00:00,2023-10-20T16:38:45.000+00:00,2023-10-20T17:57:55.000+00:00,2023-10-20T18:51:30.000+00:00,2023-10-20T20:34:06.000+00:00
5332,Benoît JOSLAIN,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T09:21:16.000+00:00,2023-10-20T11:17:22.000+00:00,2023-10-20T13:22:28.000+00:00,2023-10-20T15:36:34.000+00:00,2023-10-20T16:39:16.000+00:00,2023-10-20T17:59:03.000+00:00,2023-10-20T18:51:29.000+00:00,2023-10-20T20:34:06.000+00:00
5489,Emilie MELANDY,FINISHER,S-M0F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:52:05.000+00:00,2023-10-20T12:00:05.000+00:00,2023-10-20T14:17:22.000+00:00,2023-10-20T16:28:47.000+00:00,2023-10-20T17:28:54.000+00:00,2023-10-20T18:54:25.000+00:00,2023-10-20T19:36:04.000+00:00,2023-10-20T20:35:34.000+00:00
5488,Ludovic BRACHET,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:52:00.000+00:00,2023-10-20T12:00:02.000+00:00,2023-10-20T14:17:21.000+00:00,2023-10-20T16:26:26.000+00:00,2023-10-20T17:28:54.000+00:00,2023-10-20T18:54:27.000+00:00,2023-10-20T19:36:05.000+00:00,2023-10-20T20:35:34.000+00:00
5538,Jeremy MICHON,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:39:48.000+00:00,2023-10-20T11:47:50.000+00:00,2023-10-20T14:10:32.000+00:00,2023-10-20T16:27:19.000+00:00,2023-10-20T17:37:17.000+00:00,2023-10-20T18:55:04.000+00:00,2023-10-20T19:42:33.000+00:00,2023-10-20T20:35:44.000+00:00
5399,Laura COSTA,FINISHER,S-M0F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:04:55.000+00:00,2023-10-20T12:32:34.000+00:00,2023-10-20T14:48:03.000+00:00,2023-10-20T17:08:31.000+00:00,2023-10-20T18:09:38.000+00:00,2023-10-20T19:24:28.000+00:00,2023-10-20T20:04:33.000+00:00,2023-10-20T20:38:47.000+00:00
5437,Justine DELOMIER,FINISHER,S-M0F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:57:55.000+00:00,2023-10-20T12:18:50.000+00:00,2023-10-20T14:19:28.000+00:00,2023-10-20T16:43:42.000+00:00,2023-10-20T17:48:35.000+00:00,2023-10-20T18:58:43.000+00:00,2023-10-20T19:43:52.000+00:00,2023-10-20T20:43:12.000+00:00
5559,Yann TESSIER,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:08:15.000+00:00,2023-10-20T12:20:35.000+00:00,2023-10-20T14:26:47.000+00:00,2023-10-20T16:41:13.000+00:00,2023-10-20T17:39:28.000+00:00,2023-10-20T18:59:37.000+00:00,2023-10-20T19:51:40.000+00:00,2023-10-20T20:45:48.000+00:00
5183,Stéphanie TESSIER,FINISHER,M1-M2F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:07:44.000+00:00,2023-10-20T12:19:20.000+00:00,2023-10-20T14:24:43.000+00:00,2023-10-20T16:40:51.000+00:00,2023-10-20T17:39:44.000+00:00,2023-10-20T18:59:57.000+00:00,2023-10-20T19:51:35.000+00:00,2023-10-20T20:45:49.000+00:00
5476,Véronique LACROIX,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:11:09.000+00:00,2023-10-20T12:32:14.000+00:00,2023-10-20T14:45:25.000+00:00,2023-10-20T16:50:43.000+00:00,2023-10-20T17:48:58.000+00:00,2023-10-20T19:07:28.000+00:00,2023-10-20T19:56:48.000+00:00,2023-10-20T20:48:55.000+00:00
5507,Valéry LO-CASCIO,FINISHER,S-M0H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:46:37.000+00:00,2023-10-20T11:49:37.000+00:00,2023-10-20T14:13:03.000+00:00,2023-10-20T16:35:05.000+00:00,2023-10-20T17:32:51.000+00:00,2023-10-20T19:02:55.000+00:00,2023-10-20T19:49:44.000+00:00,2023-10-20T20:49:04.000+00:00
5506,Charles GRAIRE,FINISHER,S-M0H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:42:47.000+00:00,2023-10-20T11:49:32.000+00:00,2023-10-20T14:13:04.000+00:00,2023-10-20T16:35:03.000+00:00,2023-10-20T17:32:51.000+00:00,2023-10-20T19:02:56.000+00:00,2023-10-20T19:49:41.000+00:00,2023-10-20T20:49:04.000+00:00
5094,Cédric BATTANDIER,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:09:12.000+00:00,2023-10-20T12:26:16.000+00:00,2023-10-20T15:00:08.000+00:00,2023-10-20T17:12:37.000+00:00,2023-10-20T18:15:21.000+00:00,2023-10-20T19:24:40.000+00:00,2023-10-20T20:07:08.000+00:00,2023-10-20T20:50:22.000+00:00
5470,Alain BIGET,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:59:39.000+00:00,2023-10-20T12:11:49.000+00:00,2023-10-20T14:31:10.000+00:00,2023-10-20T16:39:08.000+00:00,2023-10-20T17:43:42.000+00:00,2023-10-20T19:06:08.000+00:00,2023-10-20T19:51:53.000+00:00,2023-10-20T20:51:04.000+00:00
5469,Serge NICOLI,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:00:08.000+00:00,2023-10-20T12:12:05.000+00:00,2023-10-20T14:31:14.000+00:00,2023-10-20T16:36:18.000+00:00,2023-10-20T17:43:45.000+00:00,2023-10-20T19:06:11.000+00:00,2023-10-20T19:51:58.000+00:00,2023-10-20T20:51:05.000+00:00
5291,Erwan LE DÛ,FINISHER,M1-M2H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T09:46:46.000+00:00,2023-10-20T12:08:47.000+00:00,2023-10-20T14:25:21.000+00:00,2023-10-20T16:49:40.000+00:00,2023-10-20T17:57:45.000+00:00,2023-10-20T19:12:28.000+00:00,2023-10-20T19:56:34.000+00:00,2023-10-20T20:55:03.000+00:00
5415,Marie-Jeanne KNOLL,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:10:30.000+00:00,2023-10-20T12:26:40.000+00:00,2023-10-20T14:37:27.000+00:00,2023-10-20T16:58:46.000+00:00,2023-10-20T17:58:33.000+00:00,2023-10-20T19:13:33.000+00:00,2023-10-20T19:56:37.000+00:00,2023-10-20T20:55:03.000+00:00
5438,Nicolas LEJAS,FINISHER,S-M0H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:39:59.000+00:00,2023-10-20T11:50:40.000+00:00,2023-10-20T14:12:18.000+00:00,2023-10-20T16:43:11.000+00:00,2023-10-20T17:49:49.000+00:00,2023-10-20T19:12:36.000+00:00,2023-10-20T20:06:50.000+00:00,2023-10-20T20:57:49.000+00:00
5439,Alexandre LAVENNE,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:47:10.000+00:00,2023-10-20T11:57:21.000+00:00,2023-10-20T14:19:28.000+00:00,2023-10-20T16:46:01.000+00:00,2023-10-20T17:49:47.000+00:00,2023-10-20T19:12:28.000+00:00,2023-10-20T20:06:53.000+00:00,2023-10-20T20:57:49.000+00:00
5566,Luis VILARDOURO,FINISHER,M3-M4H,MALE,PT,2023-10-20T07:05:38.000+00:00,2023-10-20T09:53:21.000+00:00,2023-10-20T12:21:30.000+00:00,2023-10-20T14:41:04.000+00:00,2023-10-20T17:06:04.000+00:00,2023-10-20T17:59:36.000+00:00,2023-10-20T19:23:18.000+00:00,2023-10-20T20:06:51.000+00:00,2023-10-20T20:58:12.000+00:00
5408,Loic PIERROT,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:49:30.000+00:00,2023-10-20T12:11:38.000+00:00,2023-10-20T14:22:09.000+00:00,2023-10-20T16:56:47.000+00:00,2023-10-20T18:03:43.000+00:00,2023-10-20T19:10:14.000+00:00,2023-10-20T20:01:26.000+00:00,2023-10-20T21:00:39.000+00:00
5612,Baptiste SOULARD,FINISHER,S-M0H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:07:10.000+00:00,2023-10-20T12:37:08.000+00:00,2023-10-20T14:47:33.000+00:00,2023-10-20T17:12:16.000+00:00,2023-10-20T18:20:15.000+00:00,2023-10-20T19:28:25.000+00:00,2023-10-20T20:10:41.000+00:00,2023-10-20T21:00:55.000+00:00
5647,Nicolas PEAUDEAU,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:08:20.000+00:00,2023-10-20T12:24:31.000+00:00,2023-10-20T14:39:00.000+00:00,2023-10-20T17:01:58.000+00:00,2023-10-20T18:07:06.000+00:00,2023-10-20T19:17:38.000+00:00,2023-10-20T20:10:15.000+00:00,2023-10-20T21:04:00.000+00:00
